"","Date","Infl_f","BOT_f","FER_f","Int_f","1Y_Yield","GDPG_f","CA_f","Exchange","Country"
"1",1991-02-01,3.9,NA,NA,NA,734.185777288831,-55806.140771259,42491.4186840197,NA,"europe"
"2",1991-03-01,4.1,NA,NA,NA,696.992219754462,-53704.9284481767,40925.8549669192,NA,"europe"
"3",1991-04-01,3.9,NA,NA,NA,661.07460601531,-51657.065853188,39399.2202842124,NA,"europe"
"4",1991-05-01,3.9,NA,NA,NA,626.410713849155,-49661.867801108,37911.0246358992,NA,"europe"
"5",1991-06-01,4.1,NA,NA,NA,592.978321033773,-47718.6491067514,36460.7780219798,NA,"europe"
"6",1991-07-01,4.3,NA,NA,NA,560.755205346943,-45826.724584933,35047.990442454,NA,"europe"
"7",1991-08-01,5,NA,NA,NA,529.719144566441,-43985.4090504676,33672.1718973219,NA,"europe"
"8",1991-09-01,4.5,NA,NA,NA,499.847916470047,-42194.0173181701,32332.8323865835,NA,"europe"
"9",1991-10-01,3.9,NA,NA,NA,471.119298835538,-40451.8642028553,31029.4819102387,NA,"europe"
"10",1991-11-01,3.7,NA,NA,NA,443.511069440691,-38758.2645193379,29761.6304682876,NA,"europe"
"11",1991-12-01,4.1,NA,NA,NA,417.001006063284,-37112.5330824328,28528.7880607302,NA,"europe"
"12",1992-01-01,4.1,NA,NA,NA,391.566886481095,-35513.9847069548,27330.4646875665,NA,"europe"
"13",1992-02-01,3.9,NA,NA,NA,367.186488471903,-33961.9342077187,26166.1703487965,NA,"europe"
"14",1992-03-01,3.8,NA,NA,NA,343.837589813484,-32455.6963995394,25035.4150444201,NA,"europe"
"15",1992-04-01,4.3,NA,NA,NA,321.497968283616,-30994.5860972316,23937.7087744374,NA,"europe"
"16",1992-05-01,4.2,NA,NA,NA,300.145401660078,-29577.9181156102,22872.5615388484,NA,"europe"
"17",1992-06-01,4,NA,NA,NA,279.757667720646,-28205.00726949,21839.4833376531,NA,"europe"
"18",1992-07-01,3.9,NA,NA,NA,260.312544243099,-26875.1683736858,20837.9841708514,NA,"europe"
"19",1992-08-01,3.3,NA,NA,NA,241.787809005215,-25587.7162430123,19867.5740384434,NA,"europe"
"20",1992-09-01,3.3,NA,NA,NA,224.161239784771,-24341.9656922845,18927.7629404291,NA,"europe"
"21",1992-10-01,3.3,NA,NA,NA,207.410614359546,-23137.2315363172,18018.0608768085,NA,"europe"
"22",1992-11-01,3.2,NA,NA,NA,191.513710507316,-21972.8285899251,17137.9778475815,NA,"europe"
"23",1992-12-01,3.1,NA,NA,NA,176.44830600586,-20848.0716679231,16287.0238527483,NA,"europe"
"24",1993-01-01,3.2,NA,NA,NA,162.192178632955,-19762.2755851259,15464.7088923087,NA,"europe"
"25",1993-02-01,3.4,NA,NA,NA,148.723106166379,-18714.7551563485,14670.5429662628,NA,"europe"
"26",1993-03-01,3.4,NA,NA,NA,136.01886638391,-17704.8251964055,13904.0360746105,NA,"europe"
"27",1993-04-01,3.2,NA,NA,NA,124.057237063327,-16731.8005201119,13164.6982173519,NA,"europe"
"28",1993-05-01,3.2,NA,NA,NA,112.815995982405,-15794.9959422825,12452.0393944871,NA,"europe"
"29",1993-06-01,3.1,NA,NA,NA,102.272920918924,-14893.726277732,11765.5696060158,NA,"europe"
"30",1993-07-01,3.1,NA,NA,NA,92.4057896506613,-14027.3063412752,11104.7988519383,NA,"europe"
"31",1993-08-01,3.3,NA,NA,NA,83.1923799553942,-13195.0509477271,10469.2371322545,NA,"europe"
"32",1993-09-01,3.3,NA,NA,NA,74.6104696109008,-12396.2749119023,9858.39444696428,NA,"europe"
"33",1993-10-01,3.3,NA,NA,NA,66.6378363949588,-11630.2930486158,9271.78079606778,NA,"europe"
"34",1993-11-01,3.3,NA,NA,NA,59.252258085346,-10896.4201726823,8708.90617956496,NA,"europe"
"35",1993-12-01,3.2,NA,NA,NA,52.4315124598401,-10193.9710989167,8169.28059745581,NA,"europe"
"36",1994-01-01,3.2,NA,NA,NA,46.1533772962191,-9522.26064213371,7652.41404974034,NA,"europe"
"37",1994-02-01,2.9,NA,NA,NA,40.3956303722605,-8880.60361714821,7157.81653641854,NA,"europe"
"38",1994-03-01,2.9,NA,NA,NA,35.1360494657423,-8268.314838775,6684.99805749043,NA,"europe"
"39",1994-04-01,2.8,NA,NA,NA,30.3524123544422,-7684.70912182889,6233.46861295599,NA,"europe"
"40",1994-05-01,2.7,NA,NA,NA,26.0224968161379,-7129.10128112471,5802.73820281523,NA,"europe"
"41",1994-06-01,2.8,NA,NA,NA,22.1240806286073,-6600.80613147727,5392.31682706814,NA,"europe"
"42",1994-07-01,2.7,NA,NA,NA,18.6349415696281,-6099.13848770137,5001.71448571474,NA,"europe"
"43",1994-08-01,2.6,NA,NA,NA,15.5328574169781,-5623.41316461184,4630.44117875501,NA,"europe"
"44",1994-09-01,2.7,NA,NA,NA,12.7956059484351,-5172.9449770235,4278.00690618895,NA,"europe"
"45",1994-10-01,2.7,NA,NA,NA,10.4009649417769,-4747.04873975114,3943.92166801658,NA,"europe"
"46",1994-11-01,2.6,NA,NA,NA,8.32671217478116,-4345.0392676096,3627.69546423788,NA,"europe"
"47",1994-12-01,2.4,NA,NA,NA,6.55062542522575,-3966.23137541368,3328.83829485286,NA,"europe"
"48",1995-01-01,2.6,NA,NA,NA,5.05048247088844,-3609.93987797821,3046.86015986151,NA,"europe"
"49",1995-02-01,2.4,NA,NA,NA,3.80406108954699,-3275.47959011799,2781.27105926384,NA,"europe"
"50",1995-03-01,2.4,NA,NA,NA,2.78913905897919,-2962.16532664783,2531.58099305985,NA,"europe"
"51",1995-04-01,2.5,NA,NA,NA,1.98349415696281,-2669.31190238257,2297.29996124954,NA,"europe"
"52",1995-05-01,2.6,NA,NA,NA,1.36490416127564,-2396.234132137,2077.9379638329,NA,"europe"
"53",1995-06-01,2.4,NA,NA,NA,0.91114684969544,-2142.24683072594,1873.00500080995,NA,"europe"
"54",1995-07-01,2.6,NA,NA,NA,0.6,-1906.66481296422,1682.01107218066,NA,"europe"
"55",1995-08-01,2.4,NA,NA,NA,0.409241389967095,-1688.80289366664,1504.46617794506,NA,"europe"
"56",1995-09-01,2.3,NA,NA,NA,0.316648797374502,-1487.97588764801,1339.88031810313,NA,"europe"
"57",1995-10-01,2.4,NA,NA,NA,0.3,-1303.49860972316,1187.76349265488,NA,"europe"
"58",1995-11-01,2.4,NA,NA,NA,0.330276695733854,-1134.6858747069,1047.62570160031,NA,"europe"
"59",1995-12-01,2.4,NA,NA,NA,0.351276262916285,-980.852497414043,918.976944939411,NA,"europe"
"60",1996-01-01,2.4,NA,NA,NA,0.3,-841.313292659402,801.327222672192,NA,"europe"
"61",1996-02-01,2.4,NA,NA,NA,0.147429604875266,-715.383075257794,694.18653479865,NA,"europe"
"62",1996-03-01,2.4,NA,NA,NA,0.000468373182580861,-602.376660024034,597.064881318785,NA,"europe"
"63",1996-04-01,2.4,NA,NA,NA,0,-501.608861772935,509.472262232597,NA,"europe"
"64",1996-05-01,2.4,NA,NA,NA,0.231856736616933,-412.394495319314,430.918677540086,NA,"europe"
"65",1996-06-01,2.5,NA,NA,NA,0.561665059168207,-334.048375477984,360.914127241252,NA,"europe"
"66",1996-07-01,2.1,NA,NA,NA,0.8,-265.885317063761,298.968611336096,NA,"europe"
"67",1996-08-01,2.1,NA,NA,NA,0.810328633842186,-207.22013489146,244.592129824616,NA,"europe"
"68",1996-09-01,2,NA,NA,NA,0.667686204959407,-157.367643775894,197.294682706814,NA,"europe"
"69",1996-10-01,2,NA,NA,NA,0.5,-115.64265853188,156.586269982689,NA,"europe"
"70",1996-11-01,2,NA,NA,NA,0.404606505792101,-81.3599939742325,121.976891652241,NA,"europe"
