"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","1Y_Yield","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,1,301,NA,4799.1,NA,7,-6.54846670366576,771.781278626564,794683.420960214,979573.88958239,1.0118,"canada"
"2",1971-03-01,1.5,213,NA,4850.3,NA,7,-3.13901631109593,328.789054660502,776032.619357256,972294.228099309,1.0075,"canada"
"3",1971-04-01,1.5,271,NA,4844.7,NA,6.5,-0.57,30,757675.762844115,965050.720813457,1.0064,"canada"
"4",1971-05-01,2,189,NA,4853.9,NA,6.5,1.2541377851776,-149.771070540128,739610.518087457,957843.277724832,1.0077,"canada"
"5",1971-06-01,2,218,NA,4878.7,NA,6.5,2.42895259999241,-235.709342145066,721834.551753948,950671.808833437,1.0087,"canada"
"6",1971-07-01,2.5,196,NA,4851.8,NA,6.5,3.05,-253,704345.530510256,943536.22413927,1.0213,"canada"
"7",1971-08-01,2.4,227,NA,4923.8,NA,6.5,3.22149875309907,-230.093483256166,687141.121023047,936436.433642331,1.0213,"canada"
"8",1971-09-01,3.4,271,NA,4992.2,NA,6.5,3.08232047656092,-208.501246929002,670218.989958987,929372.347342621,1.013,"canada"
"9",1971-10-01,3.4,188,NA,4991.6,NA,6.5,2.78,-233,653576.803984743,922343.875240139,1.013,"canada"
"10",1971-11-01,3.9,124,NA,5071.5,NA,6.25,2.41875609131502,-332.040181620394,637212.229766982,915350.927334886,1.0047,"canada"
"11",1971-12-01,3.9,101,NA,5273.6,NA,6,1.9295432715417,-468.767151620406,621122.933972372,908393.413626861,1.0039,"canada"
"12",1972-01-01,4.9,170,NA,5570.4,NA,6,1.2,-590,605306.583267577,901471.244116065,0.9993,"canada"
"13",1972-02-01,4.9,29,NA,5657.3,NA,6,0.231995400159353,-653.893938410405,589760.844319265,894584.328802497,1.0059,"canada"
"14",1972-03-01,4.9,212,NA,5668.4,NA,6,-0.515678747912913,-663.948665107894,574483.383794103,887732.577686158,1.0047,"canada"
"15",1972-04-01,5.4,136,NA,5748.4,NA,6,-0.47,-635,559471.868358757,880915.900767047,0.9985,"canada"
"16",1972-05-01,4.8,99,NA,5779.4,NA,6,0.672891937677193,-585.272953626874,544723.964679894,874134.208045165,0.9957,"canada"
"17",1972-06-01,4.8,225,NA,6048,NA,6,2.14020875714699,-546.54929905913,530237.339424181,867387.409520511,0.9889,"canada"
"18",1972-07-01,4.3,243,NA,6217.7,NA,6,2.89,-554,516009.659258284,860675.415193086,0.9795,"canada"
"19",1972-08-01,4.8,93,NA,6191.1,NA,6,2.2360664787615,-625.64387671173,502038.59084887,853998.135062889,0.984,"canada"
"20",1972-09-01,4.7,136,NA,6199.4,NA,6,0.915214089695342,-710.891175692623,488321.800862605,847355.47912992,0.9824,"canada"
"21",1972-10-01,5.7,109,NA,6221.1,NA,6,0.0199999999999996,-742,474856.955966157,840747.35739418,0.983,"canada"
"22",1972-11-01,5.2,220,NA,6228.9,NA,6,0.336175480610124,-674.225613600282,461641.722826192,834173.679855669,0.9827,"canada"
"23",1972-12-01,5.2,242,NA,6046.5,NA,6,1.42226821740498,-554.811924096303,448673.768109376,827634.356514386,0.9874,"canada"
"24",1973-01-01,5.2,206,NA,6049.9,NA,6,2.53,-454,435950.758482376,821129.297370332,0.9968,"canada"
"25",1973-02-01,5.6,254,NA,5964.5,NA,6,3.06775011731652,-422.712928146402,423470.36061186,814658.412423506,0.9993,"canada"
"26",1973-03-01,6,183,NA,6052.1,NA,6,3.07052785549955,-434.601868662906,411230.241164493,808221.611673909,0.9956,"canada"
"27",1973-04-01,5.6,267,NA,5967.6,NA,6,2.73,-444,399228.066806943,801818.80512154,0.9967,"canada"
"28",1973-05-01,6.5,328,NA,5907.3,NA,6.5,2.21800923530899,-420.589340480776,387461.504205875,795449.902766399,1.0007,"canada"
"29",1973-06-01,6.9,239,NA,5949.7,NA,7,1.62710184207832,-395.44726791874,375928.220027957,789114.814608487,1.0008,"canada"
"30",1973-07-01,7.8,303,NA,5860.4,NA,7.75,1.03,-415,364625.880939855,782813.450647804,0.9984,"canada"
"31",1973-08-01,7.7,295,NA,5785.8,NA,7.75,0.514657385891984,-506.22600622679,353552.153608236,776545.720884349,0.9995,"canada"
"32",1973-09-01,8.1,86,NA,5588.9,NA,8.25,0.229953665076065,-618.312763365838,342704.704699767,770311.535318122,1.0039,"canada"
"33",1973-10-01,8.1,163,NA,5535.3,NA,9,0.34,-681,332081.200881114,764110.803949124,1.0083,"canada"
"34",1973-11-01,8.5,249,NA,5773.5,NA,9,0.911509369271229,-647.914042019473,321679.308818944,757943.436777355,1.0011,"canada"
