"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","GDPG_f","CA_f","Exchange","Country"
"1",1971-02-01,NA,-573,NA,NA,NA,-531278.661209377,7135958349.45289,7.4846,"denmark"
"2",1971-03-01,NA,-580,NA,NA,NA,-524911.810812536,7084137528.52769,7.4854,"denmark"
"3",1971-04-01,NA,-1131,NA,NA,NA,-518596.023216164,7032568182.85256,7.4808,"denmark"
"4",1971-05-01,NA,-334,NA,NA,NA,-512331.092864705,6981249700.79785,7.4887,"denmark"
"5",1971-06-01,NA,-595,NA,NA,NA,-506116.814202605,6930181470.73394,7.4998,"denmark"
"6",1971-07-01,NA,-792,NA,NA,NA,-499952.981674306,6879362881.03119,7.4949,"denmark"
"7",1971-08-01,NA,-563,NA,NA,NA,-493839.389724254,6828793320.05999,7.4993,"denmark"
"8",1971-09-01,NA,-241,NA,NA,NA,-487775.832796894,6778472176.1907,7.444,"denmark"
"9",1971-10-01,NA,-471,NA,NA,NA,-481762.105336669,6728398837.7937,7.3141,"denmark"
"10",1971-11-01,NA,-374,NA,NA,NA,-475798.001788024,6678572693.23934,7.2634,"denmark"
"11",1971-12-01,NA,-587,NA,NA,NA,-469883.316595404,6628993130.898,7.2594,"denmark"
"12",1972-01-01,NA,-652,NA,NA,NA,-464017.844203252,6579659539.14006,7.1465,"denmark"
"13",1972-02-01,NA,-264,NA,NA,NA,-458201.379056014,6530571306.33588,7.0331,"denmark"
"14",1972-03-01,NA,-431,NA,NA,NA,-452433.715598134,6481727820.85583,6.99,"denmark"
"15",1972-04-01,NA,-488,NA,NA,NA,-446714.648274056,6433128471.07028,6.9635,"denmark"
"16",1972-05-01,NA,-225,NA,NA,NA,-441043.971528225,6384772645.34961,6.9924,"denmark"
"17",1972-06-01,NA,-166,NA,NA,NA,-435421.479805085,6336659732.06418,6.9775,"denmark"
"18",1972-07-01,NA,-73,NA,NA,NA,-429846.96754908,6288789119.58437,6.9767,"denmark"
"19",1972-08-01,NA,-546,NA,NA,NA,-424320.229204656,6241160196.28054,6.9597,"denmark"
"20",1972-09-01,NA,-508,NA,NA,NA,-418841.059216256,6193772350.52307,6.9261,"denmark"
"21",1972-10-01,NA,-426,NA,NA,NA,-413409.252028325,6146624970.68232,6.9521,"denmark"
"22",1972-11-01,NA,-414,NA,NA,NA,-408024.602085307,6099717445.12866,6.9189,"denmark"
