"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,15.9,-70.63,NA,593.8,NA,NA,-0.308949384788403,2614352.48145059,-11202.1180132671,-620667.968925132,"korea"
"2",1971-03-01,15.9,-144.84,NA,566.5,NA,NA,1.68950666583773,2545154.35518911,1307.77501691538,-605908.037465049,"korea"
"3",1971-04-01,15.5,-95.47,NA,570,NA,NA,2.9,2477186.51811984,9105,-591383.747334724,"korea"
"4",1971-05-01,12.6,-130.76,NA,570.3,NA,NA,3.45216024732805,2410437.94802057,12982.8902693201,-577093.202134155,"korea"
"5",1971-06-01,11.7,-120.77,NA,573.8,NA,NA,3.47561703745151,2344897.62266906,13734.779158209,-563034.505463343,"korea"
"6",1971-07-01,14,-136.92,NA,581.5,NA,NA,3.1,2280554.51984309,12154,-549205.760922287,"korea"
"7",1971-08-01,15.1,-139.69,NA,578.9,NA,NA,2.44845720095531,2217397.61732045,9214.70140298503,-535605.072110989,"korea"
"8",1971-09-01,15.4,-126.63,NA,575.3,NA,NA,1.6182104517078,2155415.89287892,6614.29307529016,-522230.542629447,"korea"
"9",1971-10-01,14.5,-98.61,NA,572,NA,NA,0.7,2094598.32429626,6231,-509080.276077662,"korea"
"10",1971-11-01,11.4,-81.19,NA,565.6,NA,NA,-0.183026088186314,2034933.88935025,9038.97078540644,-496152.376055634,"korea"
"11",1971-12-01,11.8,-89.61,NA,571.8,NA,NA,-0.778088473912336,1976411.56581868,12396.0485406304,-483444.946163362,"korea"
"12",1972-01-01,9.1,-91.53,NA,568.1,NA,NA,-0.8,1919020.33147933,12756,-470956.090000847,"korea"
"13",1972-02-01,7.9,-54.44,NA,578.6,NA,NA,-0.0867232185804199,1862749.16410996,8531.04508501884,-458683.911168089,"korea"
"14",1972-03-01,9.2,-70.52,NA,566.3,NA,NA,1.03118048097858,1807587.04148836,5967.21646589201,-446626.513265088,"korea"
"15",1972-04-01,10.2,-104.96,NA,579.3,NA,NA,2.1,1753522.94139231,13269,-434781.999891843,"korea"
"16",1972-05-01,11.4,-91.03,NA,564.5,NA,NA,2.74843748102651,1700545.84159958,34716.589615259,-423148.474648355,"korea"
"17",1972-06-01,13.8,-108.72,NA,578.3,NA,NA,2.9348480314795,1648644.71988795,58893.0115217275,-411724.041134624,"korea"
"18",1972-07-01,14.6,-75.64,NA,610.7,NA,NA,2.7,1597808.5540352,70457,-400506.80295065,"korea"
"19",1972-08-01,13.9,-57.34,NA,618.2,NA,NA,2.14482514632622,1548026.3218191,59061.226083575,-389494.863696433,"korea"
"20",1972-09-01,14.6,-57.95,NA,661.3,NA,NA,1.61090887458492,1499287.00101744,34334.1078175683,-378686.326971972,"korea"
"21",1972-10-01,12.8,-80.52,NA,685.7,NA,NA,1.5,1451579.569408,10898,-368079.296377268,"korea"
"22",1972-11-01,12.4,-71.54,NA,709.9,NA,NA,2.07226193366861,1404893.00476854,885.987531922554,-357671.875512321,"korea"
"23",1972-12-01,10.1,-48.91,NA,712.3,NA,NA,3.02151647018083,1359216.28487685,6474.07572651781,-347462.16797713,"korea"
"24",1973-01-01,9.2,-76.28,NA,739.7,NA,NA,3.9,1314538.38751071,27349,-337448.277371697,"korea"
"25",1973-02-01,7.9,-101.3,NA,745,NA,NA,4.35501600788824,1270848.29044789,60674.9348998459,-327628.30729602,"korea"
"26",1973-03-01,4.8,-40.61,NA,737.7,NA,NA,4.41413635580287,1228134.97146617,93525.8114985827,-318000.361350099,"korea"
"27",1973-04-01,2.1,-91.1,NA,758.3,NA,NA,4.2,1186387.40834333,110453,-308562.543133936,"korea"
"28",1973-05-01,2,-152.65,NA,814.5,NA,NA,3.85582218292657,1145594.57885714,101474.828424249,-299312.956247529,"korea"
"29",1973-06-01,2.2,-139.5,NA,863.1,NA,NA,3.60712329179286,1105745.46078539,78477.4560569293,-290249.70429088,"korea"
"30",1973-07-01,1.4,-103.94,NA,899.8,NA,NA,3.7,1066829.03190586,58814,-281370.890863986,"korea"
"31",1973-08-01,0.9,-119.58,NA,916.5,NA,NA,4.2365100752203,1028834.26999631,55486.8625142678,-272674.61956685,"korea"
"32",1973-09-01,0.3,-74.87,NA,934.7,NA,NA,4.74255566221087,991750.152834529,64095.5864959225,-264158.99399947,"korea"
"33",1973-10-01,1.1,-36.49,NA,1032.2,NA,NA,4.6,955565.658198295,75889,-255822.117761848,"korea"
"34",1973-11-01,2.4,-41.04,NA,1046.3,NA,NA,3.4722115902663,920269.763865385,83231.8326297907,-247662.094453982,"korea"
"35",1973-12-01,5.6,-61.05,NA,1055,NA,NA,2.14857998528959,885851.447613575,82952.4201816031,-239677.027675872,"korea"
"36",1974-01-01,8.5,-53.07,NA,1094.4,NA,NA,1.7,852299.687220644,72995,-231865.02102752,"korea"
"37",1974-02-01,12.8,-183.11,NA,1075.1,NA,NA,2.77093986001079,819603.46046437,53583.8069665693,-224224.178108924,"korea"
"38",1974-03-01,18.4,-126.49,NA,1050.7,NA,NA,4.3001614336678,787751.74512253,34063.0661109986,-216752.602520085,"korea"
"39",1974-04-01,22.6,-118.99,NA,1031.1,NA,NA,4.8,756733.518972902,26057,-209448.397861003,"korea"
"40",1974-05-01,24.2,-183.17,NA,1056.6,NA,NA,3.29588082154239,726537.759793264,36725.976540969,-202309.667731677,"korea"
"41",1974-06-01,24.2,-197.97,NA,1055.4,NA,NA,0.865589094854033,697153.445361394,55374.9450040323,-195334.515732109,"korea"
"42",1974-07-01,23.5,-211.93,NA,1044.8,NA,NA,-0.9,668569.55345507,66845,-188521.045462297,"korea"
"43",1974-08-01,25.5,-223.73,NA,1045.1,NA,NA,-0.876685368402581,640775.061852069,60332.435017703,-181867.360522241,"korea"
"44",1974-09-01,28.2,-277.24,NA,1013.5,NA,NA,0.193037742471625,613758.948330168,42454.3390580573,-175371.564511943,"korea"
"45",1974-10-01,29.2,-130.26,NA,1015.9,NA,NA,1.1,587510.190667147,24183,-169031.761031401,"korea"
"46",1974-11-01,27.8,-255.73,NA,1015.9,NA,NA,0.977527318734596,562017.766640783,14972.6537585895,-162846.053680616,"korea"
"47",1974-12-01,28,-259.66,NA,1010.3,NA,NA,0.328926601926133,537270.654028853,18205.3283933682,-156812.546059588,"korea"
"48",1975-01-01,26.4,-223.16,NA,1055.6,NA,NA,0,513257.830609135,35745,-150929.341768317,"korea"
"49",1975-02-01,25.4,-308.88,NA,943.8,NA,NA,0.588798315686419,489968.274159406,66366.9869849762,-145194.544406802,"korea"
"50",1975-03-01,21.3,-345.46,NA,922.6,NA,NA,1.70236696093495,467390.962457446,96491.9769980994,-139606.257575045,"korea"
"51",1975-04-01,19.1,-341.26,NA,887,NA,NA,2.7,445514.873281031,109452,-134162.584873044,"korea"
"52",1975-05-01,20.6,-376.21,NA,963.6,NA,NA,3.09320534444565,424328.98440794,94420.6945978021,-128861.629900799,"korea"
"53",1975-06-01,24.3,-223.97,NA,981.9,NA,NA,3.0023462950748,403822.273615949,63938.1339846046,-123701.496258312,"korea"
"54",1975-07-01,26.9,-199.45,NA,1097.3,NA,NA,2.7,383983.718682838,36386,-118680.287545581,"korea"
"55",1975-08-01,26.5,-44.97,NA,1138.7,NA,NA,2.42356549171615,364802.297386383,25610.6420312229,-113796.107362607,"korea"
