"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,NA,NA,NA,11000,NA,-189868.767092329,-268.174194709393,60718.9788535731,5872298.72764153,NA,"mexico"
"2",1971-03-01,NA,NA,NA,11100,NA,-187795.195901824,-280.675307513387,75855.5619117996,5827238.43792497,NA,"mexico"
"3",1971-04-01,NA,NA,NA,11500,NA,-185736.776154685,-293,85028,5782409.24843619,NA,"mexico"
"4",1971-05-01,NA,NA,NA,11700,NA,-183693.452295358,-304.392716613677,89291.8486737298,5737810.56503219,NA,"mexico"
"5",1971-06-01,NA,NA,NA,11600,NA,-181665.168768286,-314.097901798862,89702.6634885446,5693441.79356997,NA,"mexico"
"6",1971-07-01,NA,NA,NA,12000,NA,-179651.870017914,-321.36,87316,5649302.33990652,NA,"mexico"
"7",1971-08-01,NA,NA,NA,12200,NA,-177653.500488687,-325.473743915477,83231.5731981046,5605391.60989885,NA,"mexico"
"8",1971-09-01,NA,NA,NA,12500,NA,-175670.004625049,-325.935019259445,78725.7358106798,5561709.00940396,NA,"mexico"
"9",1971-10-01,NA,NA,NA,12400,NA,-173701.326871444,-322.29,75119,5518253.94427885,NA,"mexico"
"10",1971-11-01,NA,NA,NA,13700,NA,-171747.411672318,-313.833418835528,73511.0807560739,5475025.82038051,NA,"mexico"
"11",1971-12-01,NA,NA,NA,13900,NA,-169808.203472113,-298.85424338558,74118.5043798473,5432024.04356595,NA,"mexico"
"12",1972-01-01,NA,NA,NA,14100,NA,-167883.646715275,-275.39,76937,5389248.01969217,NA,"mexico"
"13",1972-02-01,NA,NA,NA,15800,NA,-165973.685846249,-244.374802964634,81614.5482220441,5346697.15461616,NA,"mexico"
"14",1972-03-01,NA,NA,NA,16800,NA,-164078.265309478,-218.329118309345,86408.13555882,5304370.85419493,NA,"mexico"
"15",1972-04-01,NA,NA,NA,16100,NA,-162197.329549407,-212.67,89227,5262268.52428548,NA,"mexico"
"16",1972-05-01,NA,NA,NA,16600,NA,-160330.82301048,-237.785517454083,88560.0226520459,5220389.5707448,NA,"mexico"
"17",1972-06-01,NA,NA,NA,17000,NA,-158478.690137143,-283.947801895556,85214.6570885766,5178733.39942991,NA,"mexico"
"18",1972-07-01,NA,NA,NA,17500,NA,-156640.875373839,-336.4,80578,5137299.41619779,NA,"mexico"
"19",1972-08-01,NA,NA,NA,18300,NA,-154817.323165013,-381.968312404218,75651.5093179203,5096087.02690544,NA,"mexico"
"20",1972-09-01,NA,NA,NA,17700,NA,-153007.977955109,-413.81115558991,69894.0879387257,5055095.63740988,NA,"mexico"
"21",1972-10-01,NA,NA,NA,17200,NA,-151212.784188572,-426.67,62379,5014324.65356809,NA,"mexico"
"22",1972-11-01,NA,NA,NA,16000,NA,-149431.686309847,-417.6267884846,53262.6437799764,4973773.48123708,NA,"mexico"
"23",1972-12-01,NA,NA,NA,16100,NA,-147664.628763376,-393.125353522581,47033.9541194838,4933441.52627384,NA,"mexico"
"24",1973-01-01,NA,NA,NA,17700,NA,-145911.555993606,-361.95,49265,4893328.19453539,NA,"mexico"
"25",1973-02-01,NA,NA,NA,18600,NA,-144172.412444981,-332.487866990714,63252.2488955073,4853432.89187871,NA,"mexico"
"26",1973-03-01,NA,NA,NA,19100,NA,-142447.142561944,-311.537430319767,83189.7622500058,4813755.0241608,NA,"mexico"
"27",1973-04-01,NA,NA,NA,18900,NA,-140735.690788941,-305.5,100996,4774293.99723868,NA,"mexico"
"28",1973-05-01,NA,NA,NA,18800,NA,-139038.001570416,-318.371743552543,110392.990267624,4735049.21696933,NA,"mexico"
"29",1973-06-01,NA,NA,NA,18200,NA,-137354.019350813,-344.528258531683,112317.03391753,4696020.08920976,NA,"mexico"
"30",1973-07-01,NA,NA,NA,17900,NA,-135683.688574577,-375.94,109508,4657206.01981697,NA,"mexico"
"31",1973-08-01,NA,NA,NA,17200,NA,-134026.953686152,-407.014788428745,104164.197441404,4618606.41464795,NA,"mexico"
"32",1973-09-01,NA,NA,NA,18300,NA,-132383.759129982,-441.90990592387,96317.6946724665,4580220.67955971,NA,"mexico"
"33",1973-10-01,NA,NA,NA,16100,NA,-130754.049350513,-487.22,85459,4542048.22040925,NA,"mexico"
"34",1973-11-01,NA,NA,NA,15100,NA,-129137.768792188,-543.955399028772,72468.479226019,4504088.44305356,NA,"mexico"
"35",1973-12-01,NA,NA,NA,16900,NA,-127534.861899453,-590.789154809873,63785.9281333448,4466340.75334966,NA,"mexico"
"36",1974-01-01,NA,NA,NA,19000,NA,-125945.27311675,-600.81,67241,4428804.55715453,NA,"mexico"
"37",1974-02-01,23.92,NA,NA,18200,NA,-124368.946888526,-561.205096937646,87467.7375063716,4391479.26032517,NA,"mexico"
"38",1974-03-01,25.68,NA,NA,18400,NA,-122805.827659224,-515.555326688489,116317.740942303,4354364.2687186,NA,"mexico"
"39",1974-04-01,25.54,NA,NA,21500,NA,-121255.859873288,-521.54,142447,4317458.9881918,NA,"mexico"
"40",1974-05-01,25.26,NA,NA,21400,NA,-119718.987975164,-616.210139146567,156918.978155902,4280762.82460178,NA,"mexico"
"41",1974-06-01,24.92,NA,NA,21500,NA,-118195.156409296,-754.103612510244,160427.034023371,4244275.18380553,NA,"mexico"
"42",1974-07-01,25.13,NA,NA,21100,NA,-116684.309620127,-869.13,156072,4207995.47166006,NA,"mexico"
"43",1974-08-01,23.76,NA,NA,18200,NA,-115186.392052103,-914.704716846454,146999.460981132,4171923.09402237,NA,"mexico"
"44",1974-09-01,23.09,NA,NA,17200,NA,-113701.348149668,-922.26651956683,136534.011853104,4136057.45674946,NA,"mexico"
"45",1974-10-01,21.6,NA,NA,18300,NA,-112229.122357267,-942.76,128045,4100397.96569833,NA,"mexico"
"46",1974-11-01,22.44,NA,NA,17500,NA,-110769.659119343,-1009.77803050465,123985.881623273,4064944.02672597,NA,"mexico"
"47",1974-12-01,24.31,NA,NA,19900,NA,-109322.902880342,-1087.50660551873,123146.548193844,4029695.04568939,NA,"mexico"
"48",1975-01-01,20.6,NA,NA,18900,NA,-107888.798084707,-1122.78,123401,3994650.42844558,NA,"mexico"
"49",1975-02-01,17.92,NA,NA,18300,NA,-106467.289176884,-1082.7298278016,123390.642155404,3959809.58085156,NA,"mexico"
"50",1975-03-01,15.95,NA,NA,20000,NA,-105058.320601316,-1015.67705835824,124826.499075224,3925171.90876431,NA,"mexico"
"51",1975-04-01,15.79,NA,NA,19800,NA,-103661.836802448,-990.24,130187,3890736.81804083,NA,"mexico"
"52",1975-05-01,15.2,NA,NA,19900,NA,-102277.782224725,-1050.58488051117,140194.549755109,3856503.71453814,NA,"mexico"
"53",1975-06-01,15.83,NA,NA,19600,NA,-100906.101312591,-1143.06960549277,148547.455505261,3822472.00411322,NA,"mexico"
"54",1975-07-01,16.65,NA,NA,18800,NA,-99546.7385104901,-1189.6,147188,3788641.09262308,NA,"mexico"
"55",1975-08-01,15.91,NA,NA,20700,NA,-98199.6382628672,-1140.00768719076,131418.047713048,3755010.38592472,NA,"mexico"
"56",1975-09-01,15.69,NA,NA,19200,NA,-96864.7450141666,-1055.82748263366,109977.790014843,3721579.28987513,NA,"mexico"
"57",1975-10-01,15.22,NA,NA,18100,NA,-95542.0032088328,-1026.52,94967,3688347.21033132,NA,"mexico"
"58",1975-11-01,13.56,NA,NA,19100,NA,-94231.3572913102,-1109.47362998505,95621.037170475,3655313.55315029,NA,"mexico"
"59",1975-12-01,11.27,NA,NA,23200,NA,-92932.7517060432,-1233.78787137999,109717.606657588,3622477.72418903,NA,"mexico"
"60",1976-01-01,11.31,NA,NA,20900,NA,-91646.1308974763,-1296.49,132170,3589839.12930456,NA,"mexico"
"61",1976-02-01,12.02,NA,NA,19100,NA,-90371.439310054,-1227.03705212831,157787.285086533,3557397.17435386,NA,"mexico"
"62",1976-03-01,13.49,NA,NA,21300,NA,-89108.6213882206,-1084.60510592044,180961.635206656,3525151.26519393,NA,"mexico"
"63",1976-04-01,13.89,NA,NA,20200,NA,-87857.6215764206,-960.8,195981,3493100.80768179,NA,"mexico"
"64",1976-05-01,13.72,NA,NA,23200,NA,-86618.3843190986,-924.511494835048,198603.637298208,3461245.20767442,NA,"mexico"
"65",1976-06-01,13.01,NA,NA,23000,NA,-85390.8540606988,-953.765038271565,190469.037700973,3429583.87102883,NA,"mexico"
"66",1976-07-01,11.56,NA,NA,23000,NA,-84174.9752456658,-1003.87,174687,3398116.20360201,NA,"mexico"
"67",1976-08-01,11.62,NA,NA,18300,NA,-82970.692318444,-1036.85733890187,154098.017572487,3366841.61125097,NA,"mexico"
"68",1976-09-01,11.72,NA,NA,18000,NA,-81777.9497234778,-1041.64437062293,130465.362137601,3335759.49983271,NA,"mexico"
"69",1976-10-01,14.69,NA,NA,22700,NA,-80596.6919052117,-1013.87,105283,3304869.27520423,NA,"mexico"
"70",1976-11-01,20.53,NA,NA,21800,NA,-79426.8633080901,-949.178779187111,81137.1442636944,3274170.34322253,NA,"mexico"
"71",1976-12-01,25.1,NA,NA,34900,NA,-78268.4083765576,-843.237849607098,64982.9952301039,3243662.1097446,NA,"mexico"
"72",1977-01-01,27.2,NA,NA,28200,NA,-77121.2715550584,-691.72,64868,3213343.98062745,NA,"mexico"
"73",1977-02-01,28.77,NA,NA,36700,NA,-75985.3972880371,-501.670877683021,85285.1831505127,3183215.36172807,NA,"mexico"
"74",1977-03-01,29.19,NA,NA,36700,NA,-74860.7300199382,-325.627564282016,116509.879164205,3153275.65890348,NA,"mexico"
"75",1977-04-01,30.17,NA,NA,36700,NA,-73747.2141952059,-227.5,145263,3123524.27801066,NA,"mexico"
"76",1977-05-01,31.22,NA,NA,38200,NA,-72644.7942582849,-250.801413784508,161069.012023144,3093960.62490661,NA,"mexico"
"77",1977-06-01,31.45,NA,NA,33800,NA,-71553.4146536195,-357.458189561136,164666.599224185,3064584.10544835,NA,"mexico"
"78",1977-07-01,32.53,NA,NA,37700,NA,-70473.0198256542,-489,159598,3035394.12549286,NA,"mexico"
"79",1977-08-01,32.91,NA,NA,41100,NA,-69403.5542188335,-596.464578290059,148909.990979135,3006390.09089715,NA,"mexico"
"80",1977-09-01,34.35,NA,NA,41100,NA,-68344.9622776017,-668.921899695661,133667.50171683,2977571.40751822,NA,"mexico"
"81",1977-10-01,32.22,NA,NA,42500,NA,-67297.1884464033,-704.95,114440,2948937.48121306,NA,"mexico"
"82",1977-11-01,26.13,NA,NA,44300,NA,-66260.1771696828,-703.144347129329,94851.8388751314,2920487.71783868,NA,"mexico"
"83",1977-12-01,22,NA,NA,43700,NA,-65233.8728918846,-662.170137582144,90746.9124270111,2892221.52325208,NA,"mexico"
"84",1978-01-01,20.66,NA,NA,44700,NA,-64218.2200574532,-580.71,121024,2864138.30331026,NA,"mexico"
"85",1978-02-01,19.53,NA,NA,49500,NA,-63213.163110833,-470.961736896327,194300.949816636,2836237.46387021,NA,"mexico"
"86",1978-03-01,18.63,NA,NA,46000,NA,-62218.6464964684,-399.183846272058,278071.885612162,2808518.41078894,NA,"mexico"
"87",1978-04-01,17.81,NA,NA,46600,NA,-61234.6146588039,-445.15,329550,2780980.54992345,NA,"mexico"
"88",1978-05-01,17.35,NA,NA,47100,NA,-60261.0120422839,-651.122408989065,318355.510006474,2753623.28713073,NA,"mexico"
"89",1978-06-01,17.46,NA,NA,46600,NA,-59297.783091353,-909.317440292586,263736.730309526,2726446.02826779,NA,"mexico"
"90",1978-07-01,17.64,NA,NA,45800,NA,-58344.8722504554,-1074.44,197349,2699448.17919163,NA,"mexico"
"91",1978-08-01,18.3,NA,NA,46900,NA,-57402.2239640357,-1046.53603455482,146357.936083394,2672629.14575924,NA,"mexico"
"92",1978-09-01,17.07,NA,NA,48400,NA,-56469.7826765383,-907.015651816859,119970.267223809,2645988.33382764,NA,"mexico"
"93",1978-10-01,16.35,NA,NA,48400,NA,-55547.4928324077,-782.63,122903,2619525.14925381,NA,"mexico"
"94",1978-11-01,16.86,NA,NA,48400,NA,-54635.2988760882,-766.105675013875,153418.264178469,2593238.99789476,NA,"mexico"
"95",1978-12-01,16.79,NA,NA,49200,NA,-53733.1452520245,-814.071063551091,183958.682276718,2567129.28560748,NA,"mexico"
"96",1979-01-01,16.17,NA,NA,52300,NA,-52840.9764046608,-849.13,180512,2541195.41824898,NA,"mexico"
