"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,NA,-9.3,NA,NA,NA,NA,-79362.3833313509,-1066549.01444918,165174770.863639,-971321.692670011,0.893335715561908,"new_zealand"
"2",1971-03-01,NA,43.41,NA,NA,NA,NA,-78204.4034642842,-1051311.10104904,163517978.047771,-956683.528097587,0.888888888888889,"new_zealand"
"3",1971-04-01,10.3,-23.78,NA,NA,NA,NA,-77057.7401729335,-1036219.20493193,161872300.467945,-942193.169690505,0.888572951839346,"new_zealand"
"4",1971-05-01,NA,25.42,NA,NA,NA,NA,-75922.3379017433,-1021272.62239414,160237700.716753,-927849.867448765,0.888888888888889,"new_zealand"
"5",1971-06-01,NA,19.93,NA,NA,NA,NA,-74798.141095158,-1006470.64973197,158614141.386787,-913652.871372367,0.888572951839346,"new_zealand"
"6",1971-07-01,11,-5.14,NA,NA,NA,NA,-73685.0941976221,-991812.583241716,157001585.07064,-899601.431461312,0.888494002665482,"new_zealand"
"7",1971-08-01,NA,-0.89,NA,NA,NA,NA,-72583.1416535799,-977297.719219675,155399994.360905,-885694.797715599,0.888651915044877,"new_zealand"
"8",1971-09-01,NA,19.34,NA,NA,NA,NA,-71492.227907476,-962925.353962141,153809331.850174,-871932.220135228,0.882768361581921,"new_zealand"
"9",1971-10-01,11.1,-32.15,NA,NA,NA,NA,-70412.2974037547,-948694.783765413,152229560.131039,-858312.948720199,0.870322019147084,"new_zealand"
"10",1971-11-01,NA,-3.67,NA,NA,NA,NA,-69343.2945868606,-934605.304925785,150660641.796094,-844836.233470513,0.862961684501208,"new_zealand"
"11",1971-12-01,NA,-30.62,NA,NA,NA,NA,-68285.1639012381,-920656.213739555,149102539.437931,-831501.324386169,0.861994655633135,"new_zealand"
"12",1972-01-01,9.1,11.1,NA,NA,NA,NA,-67237.8497913315,-906846.806503019,147555215.649143,-818307.471467167,0.852442247037763,"new_zealand"
"13",1972-02-01,NA,29.06,NA,NA,NA,NA,-66201.2967015854,-893176.379512472,146018633.022321,-805253.924713508,0.837801608579088,"new_zealand"
"14",1972-03-01,NA,47.99,NA,NA,NA,NA,-65175.4490764442,-879644.229064212,144492754.15006,-792339.934125191,0.837591088030823,"new_zealand"
"15",1972-04-01,8.5,1.83,NA,NA,NA,NA,-64160.2513603524,-866249.651454534,142977541.62495,-779564.749702216,0.838363514419852,"new_zealand"
"16",1972-05-01,NA,45.47,NA,NA,NA,NA,-63155.6479977543,-852991.942979735,141472958.039586,-766927.621444583,0.837731423305688,"new_zealand"
"17",1972-06-01,NA,17.16,NA,NA,NA,NA,-62161.5834330945,-839870.399936112,139978965.986559,-754427.799352292,0.837450799765514,"new_zealand"
"18",1972-07-01,7.4,36.06,NA,NA,NA,NA,-61178.0021108174,-826884.318619959,138495528.058462,-742064.533425344,0.839419121967598,"new_zealand"
"19",1972-08-01,NA,10.74,NA,NA,NA,NA,-60204.8484753674,-814032.995327575,137022606.847888,-729837.073663738,0.838152711424021,"new_zealand"
"20",1972-09-01,NA,-5.21,NA,NA,NA,NA,-59242.066971189,-801315.726355254,135560164.947429,-717744.670067474,0.837170364169109,"new_zealand"
"21",1972-10-01,6.5,34.06,NA,NA,NA,NA,-58289.6020427265,-788731.807999294,134108164.949678,-705786.572636553,0.838012234978631,"new_zealand"
"22",1972-11-01,NA,-11.5,NA,NA,NA,NA,-57347.3981344245,-776280.536555991,132666569.447227,-693962.031370974,0.838855800687862,"new_zealand"
"23",1972-12-01,NA,-17.77,NA,NA,NA,NA,-56415.3996907275,-763961.20832164,131235341.03267,-682270.296270737,0.837170364169109,"new_zealand"
"24",1973-01-01,5.5,37.64,NA,NA,NA,NA,-55493.5511560797,-751773.119592538,129814442.298598,-670710.617335842,0.836610056052874,"new_zealand"
