"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield","GDPG_f","CA_f","Exchange","Country"
"1",1971-02-01,7.5,-802,NA,NA,NA,-11492.0601371706,-52561465.0767643,12898527.6998584,7.1411,"norway"
"2",1971-03-01,6.9,-717,NA,NA,NA,-11125.5988424123,-51348656.7239,12798431.6361449,7.1425,"norway"
"3",1971-04-01,6.8,-617,NA,NA,NA,-10767.0015071706,-50154631.0607458,12698854.763092,7.1377,"norway"
"4",1971-05-01,6.2,-984,NA,NA,NA,-10416.1829462601,-48979241.6428574,12599795.7306999,7.1287,"norway"
"5",1971-06-01,6.8,-1098,NA,NA,NA,-10073.0579744959,-47822342.0257901,12501253.1889685,7.1145,"norway"
"6",1971-07-01,6.7,-1081,NA,NA,NA,-9737.54140669254,-46683785.7650997,12403225.7878978,7.1111,"norway"
"7",1971-08-01,5.5,-937,NA,NA,NA,-9409.54805766499,-45563426.4163416,12305712.1774878,7.1059,"norway"
"8",1971-09-01,6.1,-551,NA,NA,NA,-9088.99274222804,-44461117.5350714,12208711.0077385,7.0219,"norway"
"9",1971-10-01,5.5,-1198,NA,NA,NA,-8775.7902751965,-43376712.6768447,12112220.9286499,6.8993,"norway"
"10",1971-11-01,6,-903,NA,NA,NA,-8469.85547138518,-42310065.397217,12016240.5902221,6.8498,"norway"
"11",1971-12-01,6,-1008,NA,NA,NA,-8171.10314560889,-41261029.2517439,11920768.642455,6.8595,"norway"
"12",1972-01-01,4.8,-816,NA,NA,NA,-7879.44811268246,-40229457.7959809,11825803.7353485,6.7496,"norway"
"13",1972-02-01,5.9,-620,NA,NA,NA,-7594.8051874207,-39215204.5854836,11731344.5189028,6.7056,"norway"
"14",1972-03-01,6.4,-575,NA,NA,NA,-7317.08918463841,-38218123.1758075,11637389.6431178,6.6538,"norway"
"15",1972-04-01,6.4,-510,NA,NA,NA,-7046.21491915043,-37238067.1225082,11543937.7579935,6.5959,"norway"
"16",1972-05-01,6.9,-748,NA,NA,NA,-6782.09720577155,-36274889.9811413,11450987.51353,6.6003,"norway"
"17",1972-06-01,6.9,-406,NA,NA,NA,-6524.65085931661,-35328445.3072622,11358537.5597271,6.573,"norway"
"18",1972-07-01,7.4,-930,NA,NA,NA,-6273.7906946004,-34398586.6564267,11266586.5465849,6.5349,"norway"
"19",1972-08-01,7.9,-118,NA,NA,NA,-6029.43152643774,-33485167.5841901,11175133.1241035,6.5076,"norway"
"20",1972-09-01,7.9,-815,NA,NA,NA,-5791.48816964346,-32588041.6461082,11084175.9422828,6.5211,"norway"
"21",1972-10-01,8.3,-338,NA,NA,NA,-5559.87543903236,-31707062.3977363,10993713.6511228,6.5751,"norway"
"22",1972-11-01,7.7,-722,NA,NA,NA,-5334.50814941927,-30842083.3946301,10903744.9006235,6.6046,"norway"
"23",1972-12-01,7.7,-1132,NA,NA,NA,-5115.30111561899,-29992958.1923452,10814268.3407849,6.6034,"norway"
"24",1973-01-01,7.7,-265,NA,NA,NA,-4902.16915244633,-29159540.3464371,10725282.621607,6.5847,"norway"
"25",1973-02-01,6.6,-690,NA,NA,NA,-4695.02707471613,-28341683.4124613,10636786.3930898,6.6101,"norway"
"26",1973-03-01,7,-839,NA,NA,NA,-4493.78969724318,-27539240.9459734,10548778.3052334,6.2437,"norway"
"27",1973-04-01,8,-509,NA,NA,NA,-4298.3718348423,-26752066.502529,10461257.0080376,5.899,"norway"
"28",1973-05-01,8,-512,NA,NA,NA,-4108.68830232832,-25980013.6376836,10374221.1515026,5.9155,"norway"
"29",1973-06-01,7.9,-913,NA,NA,NA,-3924.65391451604,-25222935.9069928,10287669.3856283,5.8093,"norway"
"30",1973-07-01,7.8,-291,NA,NA,NA,-3746.18348622028,-24480686.8660121,10201600.3604147,5.4986,"norway"
"31",1973-08-01,7.3,-1136,NA,NA,NA,-3573.19183225585,-23753120.0702971,10116012.7258618,5.2827,"norway"
"32",1973-09-01,6.8,-527,NA,NA,NA,-3405.59376743757,-23040089.0754033,10030905.1319696,5.5134,"norway"
"33",1973-10-01,6.7,-1232,NA,NA,NA,-3243.30410658025,-22341447.4368864,9946276.22873813,5.541,"norway"
"34",1973-11-01,7.2,-237,NA,NA,NA,-3086.23766449871,-21657048.7103017,9862124.66616738,5.4694,"norway"
"35",1973-12-01,7.6,-1972,NA,NA,NA,-2934.30925600776,-20986746.451205,9778449.09425734,5.5963,"norway"
"36",1974-01-01,8.1,-94,NA,NA,NA,-2787.43369592223,-20330394.2151517,9695248.16300801,5.6657,"norway"
"37",1974-02-01,9.5,-968,NA,NA,NA,-2645.52579905691,-19687845.5576975,9612520.52241939,5.9749,"norway"
"38",1974-03-01,9.4,-793,NA,NA,NA,-2508.50038022663,-19058954.0343978,9530264.82249149,5.7648,"norway"
"39",1974-04-01,8.8,-1115,NA,NA,NA,-2376.2722542462,-18443573.2008083,9448479.7132243,5.6401,"norway"
"40",1974-05-01,9.2,-913,NA,NA,NA,-2248.75623593044,-17841556.6124844,9367163.84461781,5.5045,"norway"
"41",1974-06-01,8.7,-1178,NA,NA,NA,-2125.86714009416,-17252757.8249818,9286315.86667205,5.3283,"norway"
"42",1974-07-01,8.2,-1050,NA,NA,NA,-2007.51978155218,-16677030.393856,9205934.42938699,5.432,"norway"
"43",1974-08-01,9,-557,NA,NA,NA,-1893.62897511931,-16114227.8746625,9126018.18276265,5.3999,"norway"
"44",1974-09-01,10,-892,NA,NA,NA,-1784.10953561036,-15564203.822957,9046565.77679902,5.4814,"norway"
"45",1974-10-01,9.9,-894,NA,NA,NA,-1678.87627784016,-15026811.7942949,8967575.8614961,5.5579,"norway"
"46",1974-11-01,10.3,-1240,NA,NA,NA,-1577.84401662351,-14501905.3442318,8889047.08685389,5.5052,"norway"
"47",1974-12-01,9.7,-1187,NA,NA,NA,-1480.92756677523,-13989338.0283233,8810978.1028724,5.4343,"norway"
"48",1975-01-01,10.1,-1035,NA,NA,NA,-1388.04174311014,-13488963.4021249,8733367.55955162,5.2991,"norway"
"49",1975-02-01,11.3,-977,NA,NA,NA,-1299.10136044305,-13000635.0211922,8656214.10689155,5.1085,"norway"
"50",1975-03-01,10.7,-712,NA,NA,NA,-1214.02123358877,-12524206.4410807,8579516.39489219,5.0067,"norway"
"51",1975-04-01,11.1,-1813,NA,NA,NA,-1132.71617736212,-12059531.217346,8503273.07355355,4.9124,"norway"
"52",1975-05-01,11,-2326,NA,NA,NA,-1055.10100657792,-11606462.9055437,8427482.79287562,4.9881,"norway"
"53",1975-06-01,11.4,-2155,NA,NA,NA,-981.090536050972,-11164855.0612293,8352144.2028584,4.9513,"norway"
"54",1975-07-01,12.2,-1511,NA,NA,NA,-910.599580596103,-10734561.2399584,8277255.95350189,4.9038,"norway"
"55",1975-08-01,12.9,142,NA,NA,NA,-843.542955028122,-10315434.9972864,8202816.6948061,5.2011,"norway"
"56",1975-09-01,12,96,NA,NA,NA,-779.835474161845,-9907329.88876905,8128825.07677102,5.4635,"norway"
"57",1975-10-01,12.7,-1338,NA,NA,NA,-719.391952812087,-9510099.46996182,8055279.74939665,5.6082,"norway"
"58",1975-11-01,11.7,-896,NA,NA,NA,-662.127205793662,-9123597.29642027,7982179.36268299,5.5291,"norway"
"59",1975-12-01,12.1,-627,NA,NA,NA,-607.956047921386,-8747676.92369996,7909522.56663004,5.5202,"norway"
"60",1976-01-01,11.2,-506,NA,NA,NA,-556.793294010072,-8382191.90735645,7837308.01123781,5.5594,"norway"
"61",1976-02-01,9.3,-2165,NA,NA,NA,-508.553758874537,-8026995.80294528,7765534.34650629,5.5581,"norway"
"62",1976-03-01,9.7,-1081,NA,NA,NA,-463.152257329594,-7681942.16602202,7694200.22243548,5.5256,"norway"
"63",1976-04-01,10,-1275,NA,NA,NA,-420.503604190059,-7346884.55214223,7623304.28902539,5.5488,"norway"
"64",1976-05-01,9.9,-1553,NA,NA,NA,-380.522614270746,-7021676.51686144,7552845.196276,5.4943,"norway"
"65",1976-06-01,10.2,-962,NA,NA,NA,-343.124102386471,-6706171.61573524,7482821.59418733,5.4996,"norway"
"66",1976-07-01,10.5,-1324,NA,NA,NA,-308.222883352047,-6400223.40431916,7413232.13275937,5.5494,"norway"
"67",1976-08-01,9.2,214,NA,NA,NA,-275.733771982291,-6103685.43816876,7344075.46199213,5.5869,"norway"
"68",1976-09-01,9.6,-1983,NA,NA,NA,-245.571583092016,-5816411.2728396,7275350.23188559,5.5097,"norway"
"69",1976-10-01,8.4,-1323,NA,NA,NA,-217.651131496037,-5538254.46388724,7207055.09243977,5.4275,"norway"
"70",1976-11-01,8,-1909,NA,NA,NA,-191.887232009169,-5269068.56686723,7139188.69365466,5.316,"norway"
"71",1976-12-01,7.6,-1627,NA,NA,NA,-168.194699446228,-5008707.13733512,7071749.68553027,5.2763,"norway"
"72",1977-01-01,7.9,-2214,NA,NA,NA,-146.488348622028,-4757023.73084648,7004736.71806658,5.2102,"norway"
