"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,NA,30,NA,NA,NA,-380034.726943468,-155976.570622178,182223.485031321,-978801.481687501,4.3053,"sweden"
"2",1971-03-01,NA,30,NA,NA,NA,-375885.298572821,-152632.329536348,179223.025714849,-961607.61533617,4.2981,"sweden"
"3",1971-04-01,NA,300,NA,NA,NA,-371766.181925905,-149336.209072187,176254.297350019,-944616.287772644,4.3003,"sweden"
"4",1971-05-01,NA,-100,NA,NA,NA,-367677.265891611,-146087.860711177,173317.146580349,-927826.298996924,4.2987,"sweden"
"5",1971-06-01,NA,350,NA,NA,NA,-363618.439358826,-142886.935934799,170411.420049357,-911236.449009009,4.1242,"sweden"
"6",1971-07-01,NA,590,NA,NA,NA,-359589.591216441,-139733.086224535,167536.964400562,-894845.5378089,4.0938,"sweden"
"7",1971-08-01,NA,-10,NA,NA,NA,-355590.610353343,-136625.963061865,164693.626277483,-878652.365396596,4.0946,"sweden"
"8",1971-09-01,NA,140,NA,NA,NA,-351621.385658421,-133565.217928272,161881.252323638,-862655.731772098,4.0306,"sweden"
"9",1971-10-01,NA,220,NA,NA,NA,-347681.806020566,-130550.502305238,159099.689182546,-846854.436935405,3.9812,"sweden"
"10",1971-11-01,NA,140,NA,NA,NA,-343771.760328664,-127581.467674242,156348.783497724,-831247.280886518,3.975,"sweden"
"11",1971-12-01,NA,330,NA,NA,NA,-339891.137471606,-124657.765516768,153628.381912693,-815833.063625437,3.9834,"sweden"
"12",1972-01-01,NA,10,NA,NA,NA,-336039.82633828,-121779.047314296,150938.331070969,-800610.585152161,3.9041,"sweden"
"13",1972-02-01,NA,70,NA,NA,NA,-332217.715817575,-118944.964548309,148278.477616072,-785578.64546669,3.8922,"sweden"
"14",1972-03-01,NA,50,NA,NA,NA,-328424.69479838,-116155.168700286,145648.66819152,-770736.044569026,3.8611,"sweden"
"15",1972-04-01,NA,10,NA,NA,NA,-324660.652169584,-113409.311251711,143048.749440832,-756081.582459166,3.8567,"sweden"
"16",1972-05-01,NA,260,NA,NA,NA,-320925.476820076,-110707.043684064,140478.568007526,-741614.059137113,3.8509,"sweden"
"17",1972-06-01,NA,110,NA,NA,NA,-317219.057638744,-108048.017478827,137937.970535121,-727332.274602864,3.8605,"sweden"
"18",1972-07-01,NA,490,NA,NA,NA,-313541.283514477,-105431.884117481,135426.803667135,-713235.028856422,3.7998,"sweden"
"19",1972-08-01,NA,200,NA,NA,NA,-309892.043336165,-102858.295081508,132944.914047087,-699321.121897785,3.765,"sweden"
"20",1972-09-01,NA,290,NA,NA,NA,-306271.225992697,-100326.90185239,130492.148318495,-685589.353726953,3.7808,"sweden"
"21",1972-10-01,NA,370,NA,NA,NA,-302678.72037296,-97837.355911607,128068.353124878,-672038.524343927,3.7874,"sweden"
"22",1972-11-01,NA,70,NA,NA,NA,-299114.415365845,-95389.3087406416,125673.375109755,-658667.433748706,3.7977,"sweden"
"23",1972-12-01,NA,660,NA,NA,NA,-295578.199860239,-92982.411820975,123307.060916643,-645474.881941292,3.7956,"sweden"
"24",1973-01-01,NA,540,NA,NA,NA,-292069.962745033,-90616.3166340887,120969.257189061,-632459.668921682,3.77,"sweden"
"25",1973-02-01,NA,650,NA,NA,NA,-288589.592909114,-88290.6746614641,118659.810570529,-619620.594689878,3.7293,"sweden"
"26",1973-03-01,NA,490,NA,NA,NA,-285136.979241371,-86005.1373845828,116378.567704564,-606956.45924588,3.417,"sweden"
"27",1973-04-01,NA,980,NA,NA,NA,-281712.010630695,-83759.3562849262,114125.375234684,-594466.062589687,3.2171,"sweden"
"28",1973-05-01,NA,90,NA,NA,NA,-278314.575965972,-81552.9828439757,111900.079804409,-582148.2047213,3.2406,"sweden"
"29",1973-06-01,NA,820,NA,NA,NA,-274944.564136093,-79385.6685432129,109702.528057257,-570001.685640718,3.1728,"sweden"
"30",1973-07-01,NA,500,NA,NA,NA,-271601.864029946,-77257.0648641193,107532.566636747,-558025.305347942,3.0532,"sweden"
"31",1973-08-01,NA,1130,NA,NA,NA,-268286.36453642,-75166.8232881764,105390.042186397,-546217.863842972,2.8233,"sweden"
"32",1973-09-01,NA,-230,NA,NA,NA,-264997.954544404,-73114.5952968655,103274.801349725,-534578.161125807,2.9733,"sweden"
"33",1973-10-01,NA,300,NA,NA,NA,-261736.522942787,-71100.0323716683,101186.69077025,-523104.997196447,3.017,"sweden"
"34",1973-11-01,NA,360,NA,NA,NA,-258501.958620457,-69122.7859940661,99125.5570914905,-511797.172054893,3.0288,"sweden"
"35",1973-12-01,NA,80,NA,NA,NA,-255294.150466304,-67182.5076455405,97091.2469569652,-500653.485701145,3.1647,"sweden"
"36",1974-01-01,NA,470,NA,NA,NA,-252112.987369217,-65278.8488075729,95083.6070101925,-489672.738135202,3.2,"sweden"
"37",1974-02-01,NA,-940,NA,NA,NA,-248958.358218084,-63411.4609616449,93102.4838946909,-478853.729357064,3.3644,"sweden"
"38",1974-03-01,NA,-440,NA,NA,NA,-245830.151901794,-61579.9955892379,91147.7242539789,-468195.259366733,3.1763,"sweden"
"39",1974-04-01,NA,-130,NA,NA,NA,-242728.257309237,-59784.1041718333,89219.1747315751,-457696.128164206,3.0788,"sweden"
"40",1974-05-01,NA,50,NA,NA,NA,-239652.5633293,-58023.4381909128,87316.6819709979,-447355.135749486,3.027,"sweden"
"41",1974-06-01,NA,-380,NA,NA,NA,-236602.958850874,-56297.6491279577,85440.0926157659,-437171.08212257,2.9173,"sweden"
"42",1974-07-01,NA,-300,NA,NA,NA,-233579.332762846,-54606.3884644495,83589.2533093977,-427142.767283461,2.9899,"sweden"
"43",1974-08-01,NA,-120,NA,NA,NA,-230581.573954106,-52949.3076818698,81764.0106954116,-417268.991232157,2.9642,"sweden"
"44",1974-09-01,NA,-40,NA,NA,NA,-227609.571313543,-51326.0582616999,79964.2114173262,-407548.553968658,2.9846,"sweden"
"45",1974-10-01,NA,60,NA,NA,NA,-224663.213730045,-49736.2916854214,78189.7021186601,-397980.255492965,2.9967,"sweden"
"46",1974-11-01,NA,-270,NA,NA,NA,-221742.390092502,-48179.6594345158,76440.3294429318,-388562.895805078,2.8966,"sweden"
"47",1974-12-01,NA,-510,NA,NA,NA,-218846.989289801,-46655.8129904645,74715.9400336597,-379295.274904996,2.7503,"sweden"
"48",1975-01-01,NA,-340,NA,NA,NA,-215976.900210833,-45164.4038347491,73016.3805343625,-370176.19279272,2.6028,"sweden"
"49",1975-02-01,NA,-1775,NA,NA,NA,-213132.011744486,-43705.0834488509,71341.4975885586,-361204.449468249,2.5278,"sweden"
"50",1975-03-01,NA,322,NA,NA,NA,-210312.212779649,-42277.5033142516,69691.1378397665,-352378.844931584,2.4731,"sweden"
"51",1975-04-01,NA,190,NA,NA,NA,-207517.392205211,-40881.3149124325,68065.1479315048,-343698.179182724,2.4835,"sweden"
"52",1975-05-01,NA,-373,NA,NA,NA,-204747.438910061,-39516.1697248751,66463.374507292,-335161.25222167,2.5589,"sweden"
"53",1975-06-01,NA,-262,NA,NA,NA,-202002.241783087,-38181.719233061,64885.6642106466,-326766.864048421,2.5096,"sweden"
"54",1975-07-01,NA,-102,NA,NA,NA,-199281.689713178,-36877.6149184716,63331.8636850871,-318513.814662978,2.4946,"sweden"
"55",1975-08-01,NA,-492,NA,NA,NA,-196585.671589224,-35603.5082625884,61801.819574132,-310400.90406534,2.6142,"sweden"
"56",1975-09-01,NA,-703,NA,NA,NA,-193914.076300114,-34359.0507468929,60295.3785212999,-302426.932255508,2.6787,"sweden"
"57",1975-10-01,NA,-90,NA,NA,NA,-191266.792734735,-33143.8938528665,58812.3871701092,-294590.699233482,2.7099,"sweden"
"58",1975-11-01,NA,479,NA,NA,NA,-188643.709781978,-31957.6890619908,57352.6921640786,-286891.004999261,2.6631,"sweden"
"59",1975-12-01,NA,106,NA,NA,NA,-186044.71633073,-30800.0878557471,55916.1401467264,-279326.649552846,2.6538,"sweden"
"60",1976-01-01,NA,588,NA,NA,NA,-183469.701269881,-29670.7417156171,54502.5777615713,-271896.432894236,2.6337,"sweden"
"61",1976-02-01,NA,-220,NA,NA,NA,-180918.55348832,-28569.3021230822,53111.8516521318,-264599.155023432,2.603,"sweden"
"62",1976-03-01,NA,386,NA,NA,NA,-178391.161874936,-27495.4205596238,51743.8084619263,-257433.615940433,2.57,"sweden"
"63",1976-04-01,NA,28,NA,NA,NA,-175887.415318617,-26448.7485067235,50398.2948344733,-250398.61564524,2.5656,"sweden"
"64",1976-05-01,NA,-594,NA,NA,NA,-173407.202708253,-25428.9374458627,49075.1574132915,-243492.954137852,2.5296,"sweden"
"65",1976-06-01,NA,-214,NA,NA,NA,-170950.412932731,-24435.6388585229,47774.2428418993,-236715.43141827,2.4873,"sweden"
"66",1976-07-01,NA,789,NA,NA,NA,-168516.934880942,-23468.5042261856,46495.3977638153,-230064.847486493,2.4704,"sweden"
"67",1976-08-01,NA,-458,NA,NA,NA,-166106.657441774,-22527.1850303323,45238.4688225579,-223540.002342522,2.485,"sweden"
"68",1976-09-01,NA,49,NA,NA,NA,-163719.469504116,-21611.3327524444,44003.3026616457,-217139.695986357,2.4813,"sweden"
"69",1976-10-01,NA,-40,NA,NA,NA,-161355.259956857,-20720.5988740035,42789.7459245972,-210862.728417997,2.4733,"sweden"
"70",1976-11-01,NA,-361,NA,NA,NA,-159013.917688885,-19854.634876491,41597.6452549309,-204707.899637443,2.4465,"sweden"
"71",1976-12-01,NA,-838,NA,NA,NA,-156695.331589091,-19013.0922413883,40426.8472961653,-198674.009644694,2.4415,"sweden"
"72",1977-01-01,NA,-1419,NA,NA,NA,-154399.390546361,-18195.6224501771,39277.198691819,-192759.85843975,2.4496,"sweden"
