"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"1",1971-02-01,5.79,-438.1,NA,NA,NA,13032.2165800125,12875.6856994987,-5408490.52638378,4.3053,"switzerland"
"2",1971-03-01,6.24,-556.4,NA,NA,NA,12702.2550119195,11239.6130649006,-5328626.16835914,4.2981,"switzerland"
"3",1971-04-01,6.68,-670.9,NA,NA,NA,12377.9077699056,9740.25062240329,-5249548.44892379,4.3003,"switzerland"
"4",1971-05-01,6.87,-492.1,NA,NA,NA,12059.1267058229,8372.19096459936,-5171253.46813561,4.2987,"switzerland"
"5",1971-06-01,6.98,-646.9,NA,NA,NA,11745.863671523,7130.02668408139,-5093737.32605245,4.1242,"switzerland"
"6",1971-07-01,6.59,-506.7,NA,NA,NA,11438.070518858,6008.35037344197,-5016996.1227322,4.0938,"switzerland"
"7",1971-08-01,6.75,-472.3,NA,NA,NA,11135.6990996795,5001.75462527371,-4941025.95823272,4.0946,"switzerland"
"8",1971-09-01,6.55,-534.2,NA,NA,NA,10838.7012658396,4104.83203216918,-4865822.93261188,4.0306,"switzerland"
"9",1971-10-01,6.68,-529.7,NA,NA,NA,10547.02886919,3312.17518672099,-4791383.14592755,3.9812,"switzerland"
"10",1971-11-01,6.56,-382.6,NA,NA,NA,10260.6337615825,2618.37668152172,-4717702.69823761,3.975,"switzerland"
"11",1971-12-01,6.56,-419,NA,NA,NA,9979.46779486914,2018.02910916397,-4644777.68959992,3.9834,"switzerland"
"12",1972-01-01,6.62,-375.6,NA,NA,NA,9703.48282090163,1505.72506224033,-4572604.22007236,3.9041,"switzerland"
"13",1972-02-01,6.66,-546.8,NA,NA,NA,9432.63069153186,1076.05713334339,-4501178.38971279,3.8922,"switzerland"
"14",1972-03-01,6.72,-590,NA,NA,NA,9166.86325861169,723.617915065752,-4430496.29857908,3.8611,"switzerland"
"15",1972-04-01,6.34,-509.9,NA,NA,NA,8906.13237399296,443,-4360554.04672911,3.8567,"switzerland"
"16",1972-05-01,6.34,-560.8,NA,NA,NA,8650.38988952753,228.795980738729,-4291347.73422074,3.8509,"switzerland"
"17",1972-06-01,6.27,-606.8,NA,NA,NA,8399.58765706725,75.5984498745313,-4222873.46111185,3.8605,"switzerland"
"18",1972-07-01,6.77,-509.9,NA,NA,NA,8153.67752846397,-22,-4155127.3274603,3.7998,"switzerland"
"19",1972-08-01,6.41,-293.8,NA,NA,NA,7912.61135556954,-67.5817785974699,-4088105.43332398,3.765,"switzerland"
"20",1972-09-01,6.64,-796,NA,NA,NA,7676.34099023581,-57.4293048512727,-4021803.87876073,3.7808,"switzerland"
"21",1972-10-01,6.76,-559.8,NA,NA,NA,7444.81828431464,14,-3956218.76382845,3.7874,"switzerland"
"22",1972-11-01,7.31,-460.5,NA,NA,NA,7217.99508965787,143.123726243743,-3891346.18858499,3.7977,"switzerland"
"23",1972-12-01,6.81,-411.5,NA,NA,NA,6995.82325811737,289.8595102713,-3827182.25308823,3.7956,"switzerland"
"24",1973-01-01,6.86,-338.2,NA,NA,NA,6778.25464154497,405,-3763723.05739604,3.77,"switzerland"
"25",1973-02-01,7.37,-779.7,NA,NA,NA,6565.24109179254,452.42020695583,-3700964.70156629,3.7293,"switzerland"
"26",1973-03-01,7.58,-589.7,NA,NA,NA,6356.73446071192,448.324597099406,-3638903.28565685,3.417,"switzerland"
"27",1973-04-01,8.19,-531.2,NA,NA,NA,6152.68660015497,422,-3577534.90972558,3.2171,"switzerland"
"28",1973-05-01,8.35,-459,NA,NA,NA,5953.04936197354,395.788038525529,-3516855.67383037,3.2406,"switzerland"
"29",1973-06-01,8.02,-519,NA,NA,NA,5757.77459801948,364.249508738484,-3456861.67802908,3.1728,"switzerland"
"30",1973-07-01,8.21,-511.9,NA,NA,NA,5566.81416014464,315,-3397549.02237957,3.0532,"switzerland"
"31",1973-08-01,8.29,-565.6,NA,NA,NA,5380.11990020088,241.242453756868,-3338913.80693973,2.8233,"switzerland"
"32",1973-09-01,8.26,-620.5,NA,NA,NA,5197.64367004004,158.529219798509,-3280952.13176742,2.9733,"switzerland"
"33",1973-10-01,8.26,-473.1,NA,NA,NA,5019.33732151398,88,-3223660.09692051,3.017,"switzerland"
"34",1973-11-01,9.49,-698.2,NA,NA,NA,4845.15270647455,47.2421464469993,-3167033.80245687,3.0288,"switzerland"
"35",1973-12-01,10.85,-496.8,NA,NA,NA,4675.0416767736,39.6336120674813,-3111069.34843438,3.1647,"switzerland"
"36",1974-01-01,11.92,-395.6,NA,NA,NA,4508.95608426298,65,-3055762.83491089,3.2,"switzerland"
"37",1974-02-01,11.57,-975.3,NA,NA,NA,4346.84778079455,117.011182677357,-3001110.3619443,3.3644,"switzerland"
"38",1974-03-01,10.01,-557.1,NA,NA,NA,4188.66861822015,164.714109709344,-2947108.02959245,3.1763,"switzerland"
"39",1974-04-01,9.63,-788,NA,NA,NA,4034.37044839165,171,-2893751.93791323,3.0788,"switzerland"
"40",1974-05-01,8.73,-750.5,NA,NA,NA,3883.90512316088,109.194604325054,-2841038.1869645,3.027,"switzerland"
"41",1974-06-01,9.83,-627.6,NA,NA,NA,3737.22449437971,-5.63819905300568,-2788962.87680414,2.9173,"switzerland"
"42",1974-07-01,9.62,-674.6,NA,NA,NA,3594.28041389998,-148,-2737522.10749001,2.9899,"switzerland"
"43",1974-08-01,9.82,-724.4,NA,NA,NA,3455.02473357355,-283.493303681276,-2686711.97907998,2.9642,"switzerland"
"44",1974-09-01,10.5,-756.3,NA,NA,NA,3319.40930525227,-342.124276460284,-2636528.59163194,2.9846,"switzerland"
"45",1974-10-01,11.34,-602.6,NA,NA,NA,3187.38598078798,-245,-2586968.04520374,2.9967,"switzerland"
"46",1974-11-01,9.79,-616.5,NA,NA,NA,3058.90661203255,48.3341659556065,-2538026.43985325,2.8966,"switzerland"
"47",1974-12-01,9.03,-200.1,NA,NA,NA,2933.92305083782,424.579749338587,-2489699.87563835,2.7503,"switzerland"
"48",1975-01-01,7.55,-303.2,NA,NA,NA,2812.38714905565,732,-2441984.45261691,2.6028,"switzerland"
