"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","PrimeRate_f","GDPG_f","CA_f","FDI_f","Country","Exchange"
"1",1971-02-01,NA,NA,NA,NA,NA,8,-3.25963722083785,310.861212932936,399.356210092395,"uk",0.690703135792237
"2",1971-03-01,NA,NA,NA,NA,NA,8,-1.98138575253267,247.218559247248,306.710385271526,"uk",0.694830461367426
"3",1971-04-01,NA,104,NA,NA,NA,8,-0.9,220,241,"uk",0.667512182097323
"4",1971-05-01,NA,NA,NA,NA,NA,7,-0.0117762595361333,221.316646302302,198.076906129669,"uk",0.658154534684744
"5",1971-06-01,NA,NA,NA,NA,NA,7,0.686989172562632,243.279609265265,173.792955512385,"uk",0.651763018966304
"6",1971-07-01,NA,183,NA,NA,NA,7,1.2,278,164,"uk",0.651975485721737
"7",1971-08-01,NA,NA,NA,NA,NA,7,1.52497689346557,316.966083323324,164.250423940263,"uk",0.641930928232122
"8",1971-09-01,NA,NA,NA,NA,NA,7,1.63570839159254,349.174738874876,168.898741664517,"uk",0.6426735218509
"9",1971-10-01,NA,304,NA,NA,5,6,1.5,363,172,"uk",0.642013353877761
"10",1971-11-01,NA,NA,NA,NA,5,6,1.11557238937755,349.930131515512,169.106583294462,"uk",0.646997929606625
"11",1971-12-01,NA,NA,NA,NA,5,6,0.599806890696831,313.910324124119,161.760225977695,"uk",0.668091929449492
"12",1972-01-01,NA,231,NA,NA,5,6,0.1,262,153,"uk",0.668538574675759
"13",1972-02-01,NA,NA,NA,NA,5,6,-0.235414599123916,203.350427651664,145.101020659665,"uk",0.65235827516472
"14",1972-03-01,NA,NA,NA,NA,5,6,-0.253454472898385,155.480260924944,137.282576646925,"uk",0.660414740457007
"15",1972-04-01,NA,78,NA,NA,5,6,0.2,138,128,"uk",0.639222705190488
"16",1972-05-01,NA,NA,NA,NA,5,6,1.15571563674774,159.075565285238,117.044889622433,"uk",0.634075201318876
"17",1972-06-01,NA,NA,NA,NA,5,6,2.15104803793374,181.094558102032,109.553911879051,"uk",0.622122682593007
"18",1972-07-01,NA,91,NA,NA,5,7,2.6,155,112,"uk",0.613873542050338
"19",1972-08-01,NA,NA,NA,NA,6,7,2.11995945954035,52.3843482444208,127.386087517269,"uk",0.598802395209581
"20",1972-09-01,NA,NA,NA,NA,6,7,1.141854913756,-72.5621970367763,144.835109170206,"uk",0.585960389077698
"21",1972-10-01,NA,-165,NA,NA,6,7,0.299999999999999,-145,150,"uk",0.591436006624083
"22",1972-11-01,NA,NA,NA,NA,6,8.5,0.112594673239009,-116.279624929588,133.855204752936,"uk",0.593753710960694
"23",1972-12-01,NA,NA,NA,NA,7.5,8.5,0.633384158894111,-42.5124366215937,108.661206995681,"uk",0.59708621925006
