"","Date","Infl_d","BOT_d","Yield_d","FER_d","Int_d","PrimeRate_d","1Y_Yield","GDPG_d","CA_d","FDI_d","Country"
"1",1971-02-01,5.3,110,6.09,14699,NA,6.29,29.521168807174,2743.11438836244,-837.376849906196,383949.486052834,"usa"
"2",1971-03-01,5,238,6.14,14534,NA,5.88,18.7440230784252,1543.42600225856,-178.38283872791,378957.306349316,"usa"
"3",1971-04-01,4.7,269,5.53,14342,NA,5.44,11.1,683,196,374008.587346252,"usa"
"4",1971-05-01,4.2,-70,6.08,14307,NA,5.28,6.12243290523186,107.206751957141,338.623518129387,369103.139043642,"usa"
"5",1971-06-01,4.4,-89,6.38,13811,NA,5.46,3.34465512745409,-238.58337149965,302.339567512103,364240.771441486,"usa"
"6",1971-07-01,4.6,-292,6.7,13504,NA,5.5,2.3,-409,140,359421.294539783,"usa"
"7",1971-08-01,4.4,-222,6.85,13283,NA,5.91,2.45890812090986,-463.179977541737,-85.1050405037113,354644.518338535,"usa"
"8",1971-09-01,4.6,-210,6.28,12128,5.5,6,3.04024914705158,-478.289005595468,-267.932241890381,349910.252837741,"usa"
"9",1971-10-01,4.1,345,6,12130,5.13,6,3.2,-536,-293,345218.308037401,"usa"
"10",1971-11-01,3.8,-699,5.87,12146,5.13,5.9,2.40860127779538,-695.449804753157,-97.018170929357,340568.493937515,"usa"
"11",1971-12-01,3.3,-159,5.93,12130,5.13,5.53,1.39434828433961,-925.630976488848,174.537548197569,335960.620538083,"usa"
"12",1972-01-01,3.3,-187,5.89,12315,4.5,5.49,1.2,-1173,324,331394.497839105,"usa"
"13",1972-02-01,3.3,-262,6.09,13084,3.5,5.18,2.55113121235307,-1391.79858122341,220.399946443361,326869.935840581,"usa"
"14",1972-03-01,3.5,-549,6.04,12535,3.5,4.75,4.9045799378122,-1567.40931067136,-0.440173122116164,322386.744542512,"usa"
"15",1972-04-01,3.5,-547,6.12,12475,5.5,4.75,7.4,-1693,-136,317944.733944896,"usa"
"16",1972-05-01,3.5,-595,6.14,12473,5.5,4.97,9.26835535427383,-1761.28179627912,-43.8038370663109,313543.714047734,"usa"
"17",1972-06-01,3.2,-602,6.05,13345,5.5,5,10.1058504829301,-1763.13918823311,178.445366513118,309183.494851026,"usa"
"18",1972-07-01,2.7,-495,6.15,13339,5.5,5.04,9.6,-1689,373,304863.886354772,"usa"
