"","Pct_Chg","Exchange","X1Y_Yield_d","X1Y_Yield_f","Int_d","Int_f","Infl_d","Infl_f","GDPG_d","GDPG_f","BOT_f","BOT_d","FER_f","lag1.Exchange","lag1.X1Y_Yield_d","lag1.X1Y_Yield_f","lag1.Infl_d","lag1.Infl_f","lag1.Int_d","lag1.Int_f","lag2.Exchange","lag2.X1Y_Yield_d","lag2.X1Y_Yield_f","lag2.Infl_d","lag2.Infl_f","lag2.Int_d","lag2.Int_f","lag3.Exchange","lag3.X1Y_Yield_d","lag3.X1Y_Yield_f","lag3.Infl_d","lag3.Infl_f","lag3.Int_d","lag3.Int_f","lag4.Exchange","lag4.X1Y_Yield_d","lag4.X1Y_Yield_f","lag4.Infl_d","lag4.Infl_f","lag4.Int_d","lag4.Int_f"
"26",0.0961365646076477,278.4206,9.83700722206437,-7708.0137447228,6,4.25,3.9,7.04,-273.695428504843,-25841236.2379408,118.53,-425,19067,301.7882,8.5717986420361,-7951.13983221256,3.6,6.5,5.5,4.25,301.2405,6.8,-8199.31677197759,3.4,5.67,5.5,4.25,300.9885,4.96533625445966,-8452.59641586973,3.7,5.1,5.5,4.25,301.011,3.70392923759381,-8711.03061574083,3.4,4.21,5.5,4.25
"27",0.155154191615623,261.9014,10.2,-7469.88665765645,6.75,4.25,4.6,8.66,145,-25327796.4942683,57.15,-115,18125,278.4206,9.83700722206437,-7708.0137447228,3.9,7.04,6,4.25,301.7882,8.5717986420361,-7951.13983221256,3.6,6.5,5.5,4.25,301.2405,6.8,-8199.31677197759,3.4,5.67,5.5,4.25,300.9885,4.96533625445966,-8452.59641586973,3.7,5.1,5.5,4.25
"28",0.143391085360957,265.4914,9.36443174981734,-7236.70671916166,7.25,5,5.1,9.09,387.458103226271,-24821200.8053004,3.95,163,16834,261.9014,10.2,-7469.88665765645,4.6,8.66,6.75,4.25,278.4206,9.83700722206437,-7708.0137447228,3.9,7.04,6,4.25,301.7882,8.5717986420361,-7951.13983221256,3.6,6.5,5.5,4.25,301.2405,6.8,-8199.31677197759,3.4,5.67,5.5,4.25
"29",0.150118741510029,264.6505,7.43107930172731,-7008.42207738658,8.25,5,5.5,11.02,571.580854275597,-24321403.2636299,-108.55,-113,15869,265.4914,9.36443174981734,-7236.70671916166,5.1,9.09,7.25,5,261.9014,10.2,-7469.88665765645,4.6,8.66,6.75,4.25,278.4206,9.83700722206437,-7708.0137447228,3.9,7.04,6,4.25,301.7882,8.5717986420361,-7951.13983221256,3.6,6.5,5.5,4.25
"30",0.143352258485032,264.4981,4.6,-6784.98088047936,8.25,5.5,6,10.99,873,-23828357.9618492,-95.7,-18,15200,264.6505,7.43107930172731,-7008.42207738658,5.5,11.02,8.25,5,265.4914,9.36443174981734,-7236.70671916166,5.1,9.09,7.25,5,261.9014,10.2,-7469.88665765645,4.6,8.66,6.75,4.25,278.4206,9.83700722206437,-7708.0137447228,3.9,7.04,6,4.25
"31",0.137880083370566,264.5538,1.25936324758345,-6566.33127658813,9.25,6,5.7,11.81,1411.77864748321,-23342018.9925509,10.56,204,15158,264.4981,4.6,-6784.98088047936,6,10.99,8.25,5.5,264.6505,7.43107930172731,-7008.42207738658,5.5,11.02,8.25,5,265.4914,9.36443174981734,-7236.70671916166,5.1,9.09,7.25,5,261.9014,10.2,-7469.88665765645,4.6,8.66,6.75,4.25
"32",0.135513535932433,265.22,-1.45021331786249,-6352.42141386107,10.5,6,7.4,11.72,2085.70534473579,-22862340.4483277,-122.21,200,15126,264.5538,1.25936324758345,-6566.33127658813,5.7,11.81,9.25,6,264.4981,4.6,-6784.98088047936,6,10.99,8.25,5.5,264.6505,7.43107930172731,-7008.42207738658,5.5,11.02,8.25,5,265.4914,9.36443174981734,-7236.70671916166,5.1,9.09,7.25,5
"33",0.134266278481528,265.4747,-2.2,-6143.1994404463,9,7,7.4,14.36,2737,-22389276.4217721,20.44,944,14795,265.22,-1.45021331786249,-6352.42141386107,7.4,11.72,10.5,6,264.5538,1.25936324758345,-6566.33127658813,5.7,11.81,9.25,6,264.4981,4.6,-6784.98088047936,6,10.99,8.25,5.5,264.6505,7.43107930172731,-7008.42207738658,5.5,11.02,8.25,5
"34",0.130197781138627,266.3348,-0.283366221632601,-5938.61350449198,9,7,7.8,14.29,3222.90878832237,-21922781.0054768,-115.75,733,14049,265.4747,-2.2,-6143.1994404463,7.4,14.36,9,7,265.22,-1.45021331786249,-6352.42141386107,7.4,11.72,10.5,6,264.5538,1.25936324758345,-6566.33127658813,5.7,11.81,9.25,6,264.4981,4.6,-6784.98088047936,6,10.99,8.25,5.5
"35",0.0816710839584924,278.2625,2.51792211787081,-5738.61175414625,9,7,8.3,15.09,3460.78295196643,-21462808.2920342,-41.66,339,13196,266.3348,-0.283366221632601,-5938.61350449198,7.8,14.29,9,7,265.4747,-2.2,-6143.1994404463,7.4,14.36,9,7,265.22,-1.45021331786249,-6352.42141386107,7.4,11.72,10.5,6,264.5538,1.25936324758345,-6566.33127658813,5.7,11.81,9.25,6
"36",0.0751773429343898,280.1775,3.8,-5543.14233755728,9,7,8.7,18.23,3383,-21009312.3740371,12.98,802,12246,278.2625,2.51792211787081,-5738.61175414625,8.3,15.09,9,7,266.3348,-0.283366221632601,-5938.61350449198,7.8,14.29,9,7,265.4747,-2.2,-6143.1994404463,7.4,14.36,9,7,265.22,-1.45021331786249,-6352.42141386107,7.4,11.72,10.5,6
"37",0.0122582627385844,298.1336,1.98150904635437,-5352.15340287319,9,9,9.4,22.02,2960.17879181992,-20562247.344078,-370.18,574,11566,280.1775,3.8,-5543.14233755728,8.7,18.23,9,7,278.2625,2.51792211787081,-5738.61175414625,8.3,15.09,9,7,266.3348,-0.283366221632601,-5938.61350449198,7.8,14.29,9,7,265.4747,-2.2,-6143.1994404463,7.4,14.36,9,7
"38",-0.0435147955664145,291.0872,-1.22888256102816,-5165.59309824215,9,9,10,25,2315.90358813923,-20121567.2947495,-389.21,83,11900,298.1336,1.98150904635437,-5352.15340287319,9.4,22.02,9,9,280.1775,3.8,-5543.14233755728,8.7,18.23,9,7,278.2625,2.51792211787081,-5738.61175414625,8.3,15.09,9,7,266.3348,-0.283366221632601,-5938.61350449198,7.8,14.29,9,7
"39",-0.0718140604356036,282.1648,-3.3,-4983.40957181229,10,9,10.4,22.62,1612,-19687226.3186442,-296.58,-299,12426,291.0872,-1.22888256102816,-5165.59309824215,10,25,9,9,298.1336,1.98150904635437,-5352.15340287319,9.4,22.02,9,9,280.1775,3.8,-5543.14233755728,8.7,18.23,9,7,278.2625,2.51792211787081,-5738.61175414625,8.3,15.09,9,7
"40",-0.0442183054503641,277.7741,-2.49822551934041,-4805.55097173178,10,9,10.1,23.74,986.190859212765,-19259178.5083547,-297.62,-10,12713,282.1648,-3.3,-4983.40957181229,10.4,22.62,10,9,291.0872,-1.22888256102816,-5165.59309824215,10,25,9,9,298.1336,1.98150904635437,-5352.15340287319,9.4,22.02,9,9,280.1775,3.8,-5543.14233755728,8.7,18.23,9,7
"41",-0.0513176497241245,278.9664,-0.280169651535954,-4631.96544614874,13,9,10.7,22.08,479.787880661843,-18837377.9564735,-368.34,-695,13167,277.7741,-2.49822551934041,-4805.55097173178,10.1,23.74,10,9,282.1648,-3.3,-4983.40957181229,10.4,22.62,10,9,291.0872,-1.22888256102816,-5165.59309824215,10,25,9,9,298.1336,1.98150904635437,-5352.15340287319,9.4,22.02,9,9
"42",-0.0652786514471499,282.97,1.1,-4462.60114321135,13,9,10.9,22.28,110,-18421778.7555934,-187.41,-433,13429,278.9664,-0.280169651535954,-4631.96544614874,10.7,22.08,13,9,277.7741,-2.49822551934041,-4805.55097173178,10.1,23.74,10,9,282.1648,-3.3,-4983.40957181229,10.4,22.62,10,9,291.0872,-1.22888256102816,-5165.59309824215,10,25,9,9
"43",-0.0908179256306275,290.98,0.0743559939702567,-4297.40621106773,9.25,9,11.5,23.83,-116.608895337649,-18012334.9983067,-124.71,-793,13204,282.97,1.1,-4462.60114321135,10.9,22.28,13,9,278.9664,-0.280169651535954,-4631.96544614874,10.7,22.08,13,9,277.7741,-2.49822551934041,-4805.55097173178,10.1,23.74,10,9,282.1648,-3.3,-4983.40957181229,10.4,22.62,10,9
"44",-0.122612010707825,302.2836,-2.18006846245765,-4136.32879786605,9.25,9,10.9,24.15,-236.0551107866,-17609000.7772063,-40.24,-967,12903,290.98,0.0743559939702567,-4297.40621106773,11.5,23.83,9.25,9,282.97,1.1,-4462.60114321135,10.9,22.28,13,9,278.9664,-0.280169651535954,-4631.96544614874,10.7,22.08,13,9,277.7741,-2.49822551934041,-4805.55097173178,10.1,23.74,10,9
"45",-0.112374115633066,299.084,-3.8,-3979.31705175444,9.25,9,11.9,22.27,-295,-17211730.1848846,8.21,-485,13169,302.2836,-2.18006846245765,-4136.32879786605,10.9,24.15,9.25,9,290.98,0.0743559939702567,-4297.40621106773,11.5,23.83,9.25,9,282.97,1.1,-4462.60114321135,10.9,22.28,13,9,278.9664,-0.280169651535954,-4631.96544614874,10.7,22.08,13,9
"46",-0.110332721481672,299.3645,-3.4917910491332,-3826.31912088106,9.25,9,12.1,24.53,-299.125648232539,-16820477.3139342,27.84,-211,13451,299.084,-3.8,-3979.31705175444,11.9,22.27,9.25,9,302.2836,-2.18006846245765,-4136.32879786605,10.9,24.15,9.25,9,290.98,0.0743559939702567,-4297.40621106773,11.5,23.83,9.25,9,282.97,1.1,-4462.60114321135,10.9,22.28,13,9
"47",-0.072690160793135,300.075,-2.24029723937419,-3677.28315339405,9.25,9,12.2,24.59,-90.1970671450737,-16435196.2569478,-9.69,-133,13738,299.3645,-3.4917910491332,-3826.31912088106,12.1,24.53,9.25,9,299.084,-3.8,-3979.31705175444,11.9,22.27,9.25,9,302.2836,-2.18006846245765,-4136.32879786605,10.9,24.15,9.25,9,290.98,0.0743559939702567,-4297.40621106773,11.5,23.83,9.25,9
"48",-0.0673539685910721,300.4114,-1.6,-3532.15729744157,9.25,9,12.3,21.09,531,-16055841.1065178,179.44,-654,13518,300.075,-2.24029723937419,-3677.28315339405,12.2,24.59,9.25,9,299.3645,-3.4917910491332,-3826.31912088106,12.1,24.53,9.25,9,299.084,-3.8,-3979.31705175444,11.9,22.27,9.25,9,302.2836,-2.18006846245765,-4136.32879786605,10.9,24.15,9.25,9
"49",-0.00517510915646292,299.6845,-2.59978439003003,-3390.88970117176,8,9,11.8,17.39,1665.4077845641,-15682365.955237,-364.59,-356,13509,300.4114,-1.6,-3532.15729744157,12.3,21.09,9.25,9,300.075,-2.24029723937419,-3677.28315339405,12.2,24.59,9.25,9,299.3645,-3.4917910491332,-3826.31912088106,12.1,24.53,9.25,9,299.084,-3.8,-3979.31705175444,11.9,22.27,9.25,9
"50",-0.00195811331273618,291.6583,-4.16614998745301,-3253.42851273276,7,9,11.2,13.89,3020.88041640393,-15314724.895698,-20.41,970,13968,299.6845,-2.59978439003003,-3390.88970117176,11.8,17.39,8,9,300.4114,-1.6,-3532.15729744157,12.3,21.09,9.25,9,300.075,-2.24029723937419,-3677.28315339405,12.2,24.59,9.25,9,299.3645,-3.4917910491332,-3826.31912088106,12.1,24.53,9.25,9
"51",-0.0200862237218725,287.9486,-4.7,-3119.72188027274,6,9,10.3,14.47,4207,-14952872.0204932,0.83,1291,14152,291.6583,-4.16614998745301,-3253.42851273276,11.2,13.89,7,9,299.6845,-2.59978439003003,-3390.88970117176,11.8,17.39,8,9,300.4114,-1.6,-3532.15729744157,12.3,21.09,9.25,9,300.075,-2.24029723937419,-3677.28315339405,12.2,24.59,9.25,9
"52",-0.0493595412406981,292.1968,-3.07573805741333,-2989.71795193983,5.25,9,10.2,13.27,4913.67969516131,-14596761.4222153,31.89,999,14335,287.9486,-4.7,-3119.72188027274,10.3,14.47,6,9,291.6583,-4.16614998745301,-3253.42851273276,11.2,13.89,7,9,299.6845,-2.59978439003003,-3390.88970117176,11.8,17.39,8,9,300.4114,-1.6,-3532.15729744157,12.3,21.09,9.25,9
"53",-0.0427686875601558,291.4305,-0.0617694774804267,-2863.36487588218,5.25,8.5,9.5,13.41,5152.15688301083,-14246347.1934569,-202.45,1279,14557,292.1968,-3.07573805741333,-2989.71795193983,10.2,13.27,5.25,9,287.9486,-4.7,-3119.72188027274,10.3,14.47,6,9,291.6583,-4.16614998745301,-3253.42851273276,11.2,13.89,7,9,299.6845,-2.59978439003003,-3390.88970117176,11.8,17.39,8,9
"54",-0.0357662994920709,293.4662,3.1,-2740.61080024794,6.5,8.5,9.4,12.96,5014,-13901583.4268106,-15.66,1946,14604,291.4305,-0.0617694774804267,-2863.36487588218,9.5,13.41,5.25,8.5,292.1968,-3.07573805741333,-2989.71795193983,10.2,13.27,5.25,9,287.9486,-4.7,-3119.72188027274,10.3,14.47,6,9,291.6583,-4.16614998745301,-3253.42851273276,11.2,13.89,7,9
"55",-0.0182003083265372,296.3741,5.38051439746112,-2621.40387318527,6.5,8.5,9.7,11.11,4621.31787923509,-13562424.2148689,-48.92,949,14635,293.4662,3.1,-2740.61080024794,9.4,12.96,6.5,8.5,291.4305,-0.0617694774804267,-2863.36487588218,9.5,13.41,5.25,8.5,292.1968,-3.07573805741333,-2989.71795193983,10.2,13.27,5.25,9,287.9486,-4.7,-3119.72188027274,10.3,14.47,6,9
